 Energy parameters
 ------------
 species           1
 l=           0
 n=           0  -956.668986162347
 n=           1  -379.210355025928
 n=           2  -14.2959915219889
 n=           3  -1.39097725117281
 n=           4   3.41664190279722
 n=           5   11.8575202888064
 n=           6   23.5552337618056
 n=           7   38.2223979680527
 n=           8   55.7182768821595
 n=           9   75.9630266420627
 n=          10   98.9061129488830
 n=          11   124.506785439608
 n=          12   152.736203351302
 n=          13   183.572151679278
 n=          14   216.996079067518
 n=          15   252.993513054909
 n=          16   291.552232477885
 n=          17   332.661834198214
 n=          18   376.313438770779
 n=          19   422.499217204002
 n=          20   471.212304744003

 l=           1
 n=           0  -80.6171036899101
 n=           1  -11.0986416927885
 n=           2 -0.510317255391293
 n=           3   4.25298375036404
 n=           4   12.6681901859002
 n=           5   24.1782538890203
 n=           6   38.5541975851575
 n=           7   55.6729010214330
 n=           8   75.4657918893579
 n=           9   97.8904348668412
 n=          10   122.912487351528
 n=          11   150.509274183821
 n=          12   180.663493352227
 n=          13   213.361175744665
 n=          14   248.591948634735
 n=          15   286.347039266535
 n=          16   326.619199941311
 n=          17   369.402357738277
 n=          18   414.691301381281
 n=          19   462.481685183947
 n=          20   512.769879656204

 l=           2
 n=           0  -5.85392968931622
 n=           1  0.905773774195381
 n=           2   5.63189923196280
 n=           3   13.6741564955162
 n=           4   24.5436998681673
 n=           5   38.1196527377421
 n=           6   54.3279885923796
 n=           7   73.1367070205889
 n=           8   94.5249022361277
 n=           9   118.473288610231
 n=          10   144.970239023311
 n=          11   174.004384202063
 n=          12   205.566593427364
 n=          13   239.649544324398
 n=          14   276.246644036267
 n=          15   315.352709426308
 n=          16   356.963417284195
 n=          17   401.075240073624
 n=          18   447.685258790674
 n=          19   496.790890272656
 n=          20   548.389765347966

 l=           3
 n=           0   2.35639187570439
 n=           1   6.64661981172906
 n=           2   13.6763752053933
 n=           3   23.4105294912916
 n=           4   35.8036675223003
 n=           5   50.8127495962109
 n=           6   68.4233676953931
 n=           7   88.6092739756304
 n=           8   111.352513247454
 n=           9   136.640550334246
 n=          10   164.461975549830
 n=          11   194.809779434428
 n=          12   227.677495037771
 n=          13   263.059909171256
 n=          14   300.952572157113
 n=          15   341.351233545868
 n=          16   384.252071068605
 n=          17   429.651520142131
 n=          18   477.546413011575
 n=          19   527.934042933561
 n=          20   580.812159347714

 species           2
 l=           0
 n=           0  -18.1423969259119
 n=           1 -4.112806073883532E-002
 n=           2   5.80927914521301
 n=           3   16.7060568693384
 n=           4   31.9254693308077
 n=           5   51.2471465637003
 n=           6   74.5830334054306
 n=           7   101.882872176025
 n=           8   133.111939081351
 n=           9   168.251866027073
 n=          10   207.293917184150
 n=          11   250.229901413255
 n=          12   297.051769562462
 n=          13   347.754305728551
 n=          14   402.334318702504
 n=          15   460.788827427936
 n=          16   523.115030230147
 n=          17   589.310779068791
 n=          18   659.374401000504
 n=          19   733.304405919459
 n=          20   811.099480281573

 l=           1
 n=           0  0.533691356914167
 n=           1   5.29836476840879
 n=           2   14.5810416642800
 n=           3   27.9915249042968
 n=           4   45.4457829750705
 n=           5   66.8835003001113
 n=           6   92.2609075875359
 n=           7   121.558822945226
 n=           8   154.769156665941
 n=           9   191.880920933615
 n=          10   232.883402806835
 n=          11   277.771091467062
 n=          12   326.540757250828
 n=          13   379.188507735456
 n=          14   435.710718736169
 n=          15   496.104943848718
 n=          16   560.369287554709
 n=          17   628.501932238886
 n=          18   700.501289246112
 n=          19   776.366068240501
 n=          20   856.095156093916

 l=           2
 n=           0   3.53282346113144
 n=           1   10.8315494859346
 n=           2   22.2925584632781
 n=           3   37.7900856373871
 n=           4   57.2634434030601
 n=           5   80.6927764369163
 n=           6   108.058123626214
 n=           7   139.335771335031
 n=           8   174.511957148433
 n=           9   213.582092987367
 n=          10   256.541152983655
 n=          11   303.382525621527
 n=          12   354.101725299095
 n=          13   408.696326041614
 n=          14   467.163991398832
 n=          15   529.502296294802
 n=          16   595.709340843560
 n=          17   665.783670734422
 n=          18   739.723973008711
 n=          19   817.529060192811
 n=          20   899.197921169917

 l=           3
 n=           0   6.30654914617745
 n=           1   16.0307481221449
 n=           2   29.6507950407502
 n=           3   47.2371661253081
 n=           4   68.7551249920040
 n=           5   94.1887961370229
 n=           6   123.535774316462
 n=           7   156.789401395059
 n=           8   193.936976477744
 n=           9   234.969723858922
 n=          10   279.884691610357
 n=          11   328.679316508080
 n=          12   381.349687403538
 n=          13   437.892605901162
 n=          14   498.306174735263
 n=          15   562.588807027976
 n=          16   630.738872997715
 n=          17   702.754979102488
 n=          18   778.636013894943
 n=          19   858.380998925747
 n=          20   941.989046895744
