 Energy parameters
 ------------
 species           1
 l=           0
 n=           0  -956.668754608329
 n=           1  -90.4808098316620
 n=           2  -14.2957588678620
 n=           3  -1.39075657431663
 n=           4   3.41684715097008
 n=           5   11.8577314197644
 n=           6   23.5554469628559
 n=           7   38.2226120855338
 n=           8   55.7184917024445
 n=           9   75.9632419252055
 n=          10   98.9063281480053
 n=          11   124.507001262000
 n=          12   152.736419466977
 n=          13   183.572368087640
 n=          14   216.996296021745
 n=          15   252.993730053487
 n=          16   291.552449776498
 n=          17   332.662051802869
 n=          18   376.313656687817
 n=          19   422.499435440405
 n=          20   471.212523308223

 l=           1
 n=           0  -80.6168742040424
 n=           1  -11.0984091121134
 n=           2 -0.510100349955262
 n=           3   4.25319068831915
 n=           4   12.6684022824911
 n=           5   24.1784671158731
 n=           6   38.5544115878118
 n=           7   55.6731158569536
 n=           8   75.4660071090159
 n=           9   97.8906506236029
 n=          10   122.912703351111
 n=          11   150.509490453552
 n=          12   180.663709891015
 n=          13   213.361392556406
 n=          14   248.592165725699
 n=          15   286.347256639000
 n=          16   326.619417602121
 n=          17   369.402575693665
 n=          18   414.691519639132
 n=          19   462.481903753596
 n=          20   512.770098547850

 l=           2
 n=           0  -5.85369737288717
 n=           1  0.905985498457715
 n=           2   5.63210972804571
 n=           3   13.6743700025348
 n=           4   24.5439144072401
 n=           5   38.1198679351342
 n=           6   54.3282042667048
 n=           7   73.1369230069233
 n=           8   94.5251183554643
 n=           9   118.473504904931
 n=          10   144.970455531214
 n=          11   174.004600927286
 n=          12   205.566810386182
 n=          13   239.649761524052
 n=          14   276.246861485006
 n=          15   315.352927135155
 n=          16   356.963635263030
 n=          17   401.075458334607
 n=          18   447.685477345708
 n=          19   496.791109133885
 n=          20   548.389984527428

 l=           3
 n=           0   2.35660104268316
 n=           1   6.64683471966160
 n=           2   13.6765907403613
 n=           3   23.4107450937000
 n=           4   35.8038832274707
 n=           5   50.8129656538582
 n=           6   68.4235838525777
 n=           7   88.6094904065778
 n=           8   111.352729783954
 n=           9   136.640767013876
 n=          10   164.462192401193
 n=          11   194.809996484188
 n=          12   227.677712297661
 n=          13   263.060126659155
 n=          14   300.952789885124
 n=          15   341.351451526442
 n=          16   384.252289313969
 n=          17   429.651738663811
 n=          18   477.546631822100
 n=          19   527.934262045765
 n=          20   580.812378775227

 l=           4
 n=           0   4.77458919301960
 n=           1   11.1771541138935
 n=           2   20.0456988389091
 n=           3   31.4364957159223
 n=           4   45.3838355546338
 n=           5   61.8788720574814
 n=           6   80.9150237667844
 n=           7   102.493862867350
 n=           8   126.606829060448
 n=           9   153.247812366443
 n=          10   182.409931245760
 n=          11   214.086601667306
 n=          12   248.273098408556
 n=          13   284.965059984862
 n=          14   324.159160429477
 n=          15   365.852648475298
 n=          16   410.043123623191
 n=          17   456.728440736925
 n=          18   505.906495555590
 n=          19   557.575210472352
 n=          20   611.732550035843

 l=           5
 n=           0   7.19001640640705
 n=           1   15.3532834775079
 n=           2   25.8442008422834
 n=           3   38.7938982515849
 n=           4   54.2379405585827
 n=           5   72.1950450069555
 n=           6   92.6584261403774
 n=           7   115.631015087659
 n=           8   141.114710408783
 n=           9   169.107357525741
 n=          10   199.607754524571
 n=          11   232.612627481678
 n=          12   268.118798180270
 n=          13   306.123335720715
 n=          14   346.623363976515
 n=          15   389.616523819612
 n=          16   435.100788714134
 n=          17   483.074505473903
 n=          18   533.536312289013
 n=          19   586.485008684628
 n=          20   641.919455717240

 l=           6
 n=           0   9.80173139932758
 n=           1   19.6128475070809
 n=           2   31.6137833183738
 n=           3   46.0374315006641
 n=           4   62.9182245319024
 n=           5   82.2856518630197
 n=           6   104.144173458000
 n=           7   128.491861047005
 n=           8   155.333043721589
 n=           9   184.668400945121
 n=          10   216.498406667129
 n=          11   250.823146659396
 n=          12   287.641301809318
 n=          13   326.951522680217
 n=          14   368.752132565860
 n=          15   413.041388701282
 n=          16   459.817657084882
 n=          17   509.079413801495
 n=          18   560.825352789097
 n=          19   615.054387098588
 n=          20   671.765633783876

 species           2
 l=           0
 n=           0  -18.1421848129800
 n=           1 -4.092243965091874E-002
 n=           2   5.80948559982071
 n=           3   16.7062651879029
 n=           4   31.9256778130251
 n=           5   51.2473547566708
 n=           6   74.5832415848943
 n=           7   101.883080184471
 n=           8   133.112147806004
 n=           9   168.252075077414
 n=          10   207.294126289411
 n=          11   250.230110682739
 n=          12   297.051979384437
 n=          13   347.754515368486
