k-point #     1:    0.000000    0.000000    0.000000    0.125000
 state   E_KS       E_HF       E_GW       Sx         Re(Sc)     Im(Sc)     Vxc        DE_HF      DE_GW      Znk
   1    -1.82136   -2.31056   -2.08135   -1.52348    0.19199    0.00488   -1.03429   -0.48920   -0.25999    0.87476
   2    -1.00748   -1.29285   -1.09968   -1.21511    0.17588    0.02578   -0.92975   -0.28537   -0.09220    0.84210
   3    -1.00748   -1.29285   -1.09315   -1.21511    0.18171    0.02768   -0.92975   -0.28537   -0.08567    0.82644
   4    -1.00748   -1.29285   -1.08995   -1.21511    0.18463    0.02790   -0.92975   -0.28537   -0.08247    0.81866
   5    -0.72981   -1.15716   -0.79767   -1.19021    0.33007    0.03503   -0.76287   -0.42734   -0.06786    0.69766
   6    -0.63226   -1.04871   -0.70529   -1.25163    0.31195    0.02620   -0.83518   -0.41645   -0.07303    0.69880
   7    -0.25753   -0.47499   -0.29282   -0.88207    0.16880    0.00378   -0.66461   -0.21746   -0.03529    0.72523
   8    -0.25753   -0.47499   -0.29276   -0.88207    0.16906    0.00419   -0.66461   -0.21746   -0.03522    0.72784
   9    -0.25753   -0.47499   -0.29278   -0.88207    0.16902    0.00415   -0.66461   -0.21746   -0.03524    0.72760
  10    -0.08108   -0.28124   -0.12655   -0.97052    0.14006   -0.00000   -0.77036   -0.20016   -0.04546    0.75647
  11    -0.08108   -0.28124   -0.12644   -0.97052    0.14016   -0.00000   -0.77036   -0.20016   -0.04535    0.75593
  12    -0.08108   -0.28124   -0.12641   -0.97052    0.14019   -0.00000   -0.77036   -0.20016   -0.04533    0.75585
  13     0.06091    0.32425    0.09152   -0.36212   -0.22512   -0.00000   -0.62547    0.26334    0.03060    0.80074
  14     0.06091    0.32425    0.09151   -0.36212   -0.22513   -0.00000   -0.62547    0.26334    0.03060    0.80072
  15     0.17647    0.38101    0.18497   -0.27541   -0.19411    0.00000   -0.47994    0.20453    0.00850    0.81563
  16     0.28947    0.57168    0.31640   -0.56710   -0.24608   -0.00071   -0.84932    0.28222    0.02693    0.74520
  17     0.28947    0.57168    0.31617   -0.56710   -0.24631   -0.00081   -0.84932    0.28222    0.02670    0.74363
  18     0.28947    0.57168    0.31625   -0.56710   -0.24622   -0.00079   -0.84932    0.28222    0.02679    0.74408
  19     0.46287    0.69944    0.47850   -0.19845   -0.21748   -0.00523   -0.43502    0.23657    0.01563    0.81856
  20     0.46287    0.69944    0.47861   -0.19845   -0.21735   -0.00521   -0.43502    0.23657    0.01574    0.81892
  21     0.46287    0.69944    0.47855   -0.19845   -0.21742   -0.00523   -0.43502    0.23657    0.01568    0.81872
  22     0.77143    1.04209    0.78811   -0.20347   -0.25027   -0.02121   -0.47414    0.27066    0.01668    0.81825
  23     0.81602    1.12615    0.86624   -0.28345   -0.25187   -0.03525   -0.59357    0.31012    0.05022    0.86215
  24     0.81602    1.12615    0.86678   -0.28345   -0.25143   -0.03558   -0.59357    0.31012    0.05076    0.86488
  25     0.96052    1.28806    0.99075   -0.24533   -0.29059   -0.03896   -0.57287    0.32754    0.03023    0.81810
