 Energy parameters
 ------------
 species           1
 l=           0
 n=           0  -956.668857441502
 n=           1  -379.210225370091
 n=           2  -14.2958579803164
 n=           3  -1.39085408705473
 n=           4   3.41674973498303
 n=           5   11.8576335922056
 n=           6   23.5553488286426
 n=           7   38.2225139492090
 n=           8   55.7183934928437
 n=           9   75.9631434089484
 n=          10   98.9062300331434
 n=          11   124.506902544624
 n=          12   152.736321370444
 n=          13   183.572269369556
 n=          14   216.996197372528
 n=          15   252.993631242244
 n=          16   291.552350804867
 n=          17   332.661952981567
 n=          18   376.313557393327
 n=          19   422.499336330017
 n=          20   471.212424048639

 l=           1
 n=           0  -115.376229566960
 n=           1  -11.0985082112125
 n=           2 -0.510197715203987
 n=           3   4.25309289713687
 n=           4   12.6683041144246
 n=           5   24.1783693122255
 n=           6   38.5543138792516
 n=           7   55.6730176346131
 n=           8   75.4659088967451
 n=           9   97.8905521589860
 n=          10   122.912605026687
 n=          11   150.509391934939
 n=          12   180.663611187378
 n=          13   213.361293673372
 n=          14   248.592066934071
 n=          15   286.347157691744
 n=          16   326.619318498775
 n=          17   369.402476756098
 n=          18   414.691420217838
 n=          19   462.481804168744
 n=          20   512.769999174935

 l=           2
 n=           0  -5.85379645274597
 n=           1  0.905888268799988
 n=           2   5.63201190641682
 n=           3   13.6742717606980
 n=           4   24.5438162077787
 n=           5   38.1197697668750
 n=           6   54.3281060520844
 n=           7   73.1368245214146
 n=           8   94.5250199257823
 n=           9   118.473406611847
 n=          10   144.970357053245
 n=          11   174.004502271228
 n=          12   205.566711556196
 n=          13   239.649662781676
 n=          14   276.246762591025
 n=          15   315.352828089058
 n=          16   356.963536377841
 n=          17   401.075359311665
 n=          18   447.685378181730
 n=          19   496.791009824914
 n=          20   548.389885069046

 l=           3
 n=           0   2.35650373480441
 n=           1   6.64673661942383
 n=           2   13.6764927798014
 n=           3   23.4106472587631
 n=           4   35.8037851146779
 n=           5   50.8128677385146
 n=           6   68.4234854530309
 n=           7   88.6093920574303
 n=           8   111.352631210723
 n=           9   136.640668608124
 n=          10   164.462093819371
 n=          11   194.809897730763
 n=          12   227.677613874590
 n=          13   263.060027837310
 n=          14   300.952691200739
 n=          15   341.351352403681
 n=          16   384.252190361481
 n=          17   429.651639229579
 n=          18   477.546532226479
 n=          19   527.934162284457
 n=          20   580.812279242215

 l=           4
 n=           0   4.77449195049093
 n=           1   11.1770562687516
 n=           2   20.0456009666540
 n=           3   31.4363977820287
 n=           4   45.3837373317974
 n=           5   61.8787737989140
 n=           6   80.9149255382461
 n=           7   102.493764412311
 n=           8   126.606730752395
 n=           9   153.247713879384
 n=          10   182.409832585275
 n=          11   214.086503317757
 n=          12   248.272999668594
 n=          13   284.964961095315
 n=          14   324.159061389335
 n=          15   365.852549282580
 n=          16   410.043024608848
 n=          17   456.728341582093
 n=          18   505.906395885015
 n=          19   557.575111023500
 n=          20   611.732450432710

 l=           5
 n=           0   7.18991969343671
 n=           1   15.3531857954851
 n=           2   25.8441029025627
 n=           3   38.7938002612074
 n=           4   54.2378422541239
 n=           5   72.1949469404040
 n=           6   92.6583281494341
 n=           7   115.630916900160
 n=           8   141.114612034363
 n=           9   169.107258971484
 n=          10   199.607656259928
 n=          11   232.612528832950
 n=          12   268.118699380504
 n=          13   306.123237057656
 n=          14   346.623264872957
 n=          15   389.616424885993
 n=          16   435.100689640919
 n=          17   483.074405895326
 n=          18   533.536212925064
 n=          19   586.484909168663
 n=          20   641.919356044349

 l=           6
 n=           0   9.80163423840794
 n=           1   19.6127500552367
 n=           2   31.6136853274741
 n=           3   46.0373334629852
 n=           4   62.9181264096986
 n=           5   82.2855537400371
 n=           6   104.144075084427
 n=           7   128.491762806264
 n=           8   155.332945289500
 n=           9   184.668302331050
 n=          10   216.498307876538
 n=          11   250.823047956437
 n=          12   287.641202953290
 n=          13   326.951423670794
 n=          14   368.752033717496
 n=          15   413.041289713767
 n=          16   459.817557601763
 n=          17   509.079314153472
 n=          18   560.825253362051
 n=          19   615.054287516243
 n=          20   671.765534041348

 species           2
 l=           0
 n=           0  -18.1422888120472
 n=           1 -4.101985482638476E-002
 n=           2   5.80938705814048
 n=           3   16.7061666034956
 n=           4   31.9255790520402
 n=           5   51.2472557436106
 n=           6   74.5831424365372
 n=           7   101.882980904486
 n=           8   133.112048374788
 n=           9   168.251975511734
 n=          10   207.294026309158
 n=          11   250.230010873333
